Suburb,Address,Rooms,Price,Method,SellerG,Date,Postcode,Bathroom,Car,CouncilArea,Lattitude,Longtitude,Propertycount,Type_t,Type_u,Regionname_Eastern Victoria,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan,Regionname_Western Victoria,PropertyAge,AgeGroup,AgeGroup_enc,Distance_scaled,Landsize_scaled,price_per_room,price_per_sqm,room_area_score,Landsize_log
Abbotsford,85 Turner St,2,1480000.0,S,Biggin,2016-12-03,3067,1.0,1.0,Yarra,-37.7996,144.9984,4019.0,False,False,False,True,False,False,False,False,False,58.0,Heritage,3,-1.3014849810054607,-0.6120538620309762,740000.0,10277.777777777777,288.0,5.313205979041787
Abbotsford,25 Bloomburg St,2,1035000.0,S,Biggin,2016-02-04,3067,1.0,0.0,Yarra,-37.8079,144.9934,4019.0,False,False,False,True,False,False,False,False,False,118.0,Heritage,3,-1.3014849810054607,-0.7183734302354374,517500.0,13101.26582278481,158.0,5.056245805348308
Abbotsford,5 Charles St,3,1465000.0,SP,Biggin,2017-03-04,3067,2.0,0.0,Yarra,-37.8093,144.9944,4019.0,False,False,False,True,False,False,False,False,False,118.0,Heritage,3,-1.3014849810054607,-0.7692219193767015,488333.3333333333,9766.666666666666,450.0,4.90527477843843
Abbotsford,40 Federation La,3,850000.0,PI,Biggin,2017-03-04,3067,2.0,1.0,Yarra,-37.7969,144.9969,4019.0,False,False,False,True,False,False,False,False,False,58.0,Heritage,3,-1.3014849810054607,-0.8616737178153634,283333.3333333333,5902.777777777777,432.0,4.553876891600541
Abbotsford,55a Park St,4,1600000.0,VB,Nelson,2016-06-04,3067,1.0,2.0,Yarra,-37.8072,144.9941,4019.0,False,False,False,True,False,False,False,False,False,4.0,New,0,-1.3014849810054607,-0.8015800488302331,400000.0,11267.605633802817,568.0,4.795790545596741
Abbotsford,129 Charles St,2,941000.0,S,Jellis,2016-05-07,3067,1.0,0.0,Yarra,-37.8041,144.9953,4019.0,False,False,False,True,False,False,False,False,False,58.0,Heritage,3,-1.3014849810054607,-0.6605910562112738,470500.0,6534.722222222223,288.0,5.204006687076795
Abbotsford,124 Yarra St,3,1876000.0,S,Nelson,2016-05-07,3067,2.0,0.0,Yarra,-37.8024,144.9993,4019.0,False,False,False,True,False,False,False,False,False,108.0,Heritage,3,-1.3014849810054607,-0.5126681787094147,625333.3333333334,8933.333333333334,630.0,5.5053315359323625
Abbotsford,98 Charles St,2,1636000.0,S,Nelson,2016-10-08,3067,1.0,2.0,Yarra,-37.806,144.9954,4019.0,False,False,False,True,False,False,False,False,False,128.0,Heritage,3,-1.3014849810054607,-0.4872439341387827,818000.0,15289.719626168224,214.0,5.54907608489522
Abbotsford,6/241 Nicholson St,1,300000.0,S,Biggin,2016-10-08,3067,1.0,1.0,Yarra,-37.8008,144.9973,4019.0,False,True,False,True,False,False,False,False,False,43.0,Established,2,-1.3014849810054607,-1.078935444146219,300000.0,4000.0,75.0,0.0
Abbotsford,10 Valiant St,2,1097000.0,S,Biggin,2016-10-08,3067,1.0,2.0,Yarra,-37.801,144.9989,4019.0,False,False,False,True,False,False,False,False,False,118.0,Heritage,3,-1.3014849810054607,-0.5704505527335784,548500.0,14626.666666666666,150.0,5.3981627015177525
Abbotsford,411/8 Grosvenor St,2,700000.0,VB,Jellis,2016-11-12,3067,2.0,1.0,Yarra,-37.811,145.0067,4019.0,False,True,False,True,False,False,False,False,False,43.0,Established,2,-1.3014849810054607,-1.078935444146219,350000.0,9333.333333333334,150.0,0.0
Abbotsford,40 Nicholson St,3,1350000.0,VB,Nelson,2016-11-12,3067,2.0,2.0,Yarra,-37.8085,144.9964,4019.0,False,False,False,True,False,False,False,False,False,13.0,Recent,1,-1.3014849810054607,-0.5843183224993777,450000.0,7105.263157894737,570.0,5.3706380281276624
Abbotsford,123/56 Nicholson St,2,750000.0,S,Biggin,2016-11-12,3067,2.0,1.0,Yarra,-37.8078,144.9965,4019.0,False,True,False,True,False,False,False,False,False,9.0,Recent,1,-1.3014849810054607,-1.078935444146219,375000.0,7978.723404255319,188.0,0.0
Abbotsford,45 William St,2,1172500.0,S,Biggin,2016-08-13,3067,1.0,1.0,Yarra,-37.8084,144.9973,4019.0,False,False,False,True,False,False,False,False,False,58.0,Heritage,3,-1.3014849810054607,-0.6282329267577421,586250.0,8142.361111111111,288.0,5.278114659230517
Abbotsford,7/20 Abbotsford St,1,441000.0,SP,Greg,2016-05-14,3067,1.0,1.0,Yarra,-37.8016,144.9988,4019.0,False,True,False,True,False,False,False,False,False,43.0,Established,2,-1.3014849810054607,-1.078935444146219,441000.0,5880.0,75.0,0.0
Abbotsford,16 William St,2,1310000.0,S,Jellis,2016-10-15,3067,1.0,2.0,Yarra,-37.809,144.9976,4019.0,False,False,False,True,False,False,False,False,False,128.0,Heritage,3,-1.3014849810054607,-0.5288472434361805,655000.0,13505.154639175258,194.0,5.476463551931511
Abbotsford,42 Henry St,3,1200000.0,S,Jellis,2016-07-16,3067,2.0,1.0,Yarra,-37.8056,144.993,4019.0,False,False,False,True,False,False,False,False,False,138.0,Heritage,3,-1.3014849810054607,-0.8177591135569989,400000.0,10909.09090909091,330.0,4.736198448394496
